idx,address,contract_name,compiler_version,total_nonempty_lines,contains_risk_keyword,input_file,original_source_dir,optimization_used,runs,license_type,proxy,implementation,etherscan_contract_name
59,0xA558CAd6Fe42898dd45EfBA4e0bA9Be63AD63c80,WaultswapRouter,v0.8.30+commit.73712a01,543,True,recent_preprocessed_risk_only/contracts/0059_0xA558CAd6Fe42898dd45EfBA4e0bA9Be63AD63c80_WaultswapRouter.sol,recent_etherscan_300/sources/0xA558CAd6Fe42898dd45EfBA4e0bA9Be63AD63c80_WaultswapRouter,1,200,,0,,WaultswapRouter
60,0x028b6a31B479381e598E4DAeD38a6860C6c9a212,FuruCombo,v0.8.30+commit.73712a01,543,True,recent_preprocessed_risk_only/contracts/0060_0x028b6a31B479381e598E4DAeD38a6860C6c9a212_FuruCombo.sol,recent_etherscan_300/sources/0x028b6a31B479381e598E4DAeD38a6860C6c9a212_FuruCombo,1,400,,0,,FuruCombo
61,0xeF7E162053488220a393302dE005d2F9e14D2888,SatHook,v0.8.26+commit.8a97fa7a,5383,True,recent_preprocessed_risk_only/contracts/0061_0xeF7E162053488220a393302dE005d2F9e14D2888_SatHook.sol,recent_etherscan_300/sources/0xeF7E162053488220a393302dE005d2F9e14D2888_SatHook,0,200,,0,,SatHook
62,0xfCf8AD9a81280Cc2818Eeb998E053d3d3162DE7c,BigRonnieERC20,v0.8.30+commit.73712a01,544,True,recent_preprocessed_risk_only/contracts/0062_0xfCf8AD9a81280Cc2818Eeb998E053d3d3162DE7c_BigRonnieERC20.sol,recent_etherscan_300/sources/0xfCf8AD9a81280Cc2818Eeb998E053d3d3162DE7c_BigRonnieERC20,0,200,,0,,BigRonnieERC20
63,0xc5db0cc78dbe10a8e2c3e80266534073beb9b72f,Token,v0.8.29+commit.ab55807c,1503,True,recent_preprocessed_risk_only/contracts/0063_0xc5db0cc78dbe10a8e2c3e80266534073beb9b72f_Token.sol,recent_etherscan_300/sources/0xc5db0cc78dbe10a8e2c3e80266534073beb9b72f_Token,1,200,,0,,Token
64,0xECef7AA17077e4a8f86F734fCbfa0E608122D09a,ThroneLib,v0.8.28+commit.7893614a,118,True,recent_preprocessed_risk_only/contracts/0064_0xECef7AA17077e4a8f86F734fCbfa0E608122D09a_ThroneLib.sol,recent_etherscan_300/sources/0xECef7AA17077e4a8f86F734fCbfa0E608122D09a_ThroneLib,1,1,,0,,ThroneLib
65,0xC7d03B03d4F44Ce825FE701D9b30f3de8A8e9aC5,GhostLiquidityERC20,v0.8.30+commit.73712a01,544,True,recent_preprocessed_risk_only/contracts/0065_0xC7d03B03d4F44Ce825FE701D9b30f3de8A8e9aC5_GhostLiquidityERC20.sol,recent_etherscan_300/sources/0xC7d03B03d4F44Ce825FE701D9b30f3de8A8e9aC5_GhostLiquidityERC20,0,200,,0,,GhostLiquidityERC20
66,0xCaB96A5F3F35E9EA819D960ddFa47e70dC95B2b9,BlazingCoopERC20,v0.8.30+commit.73712a01,544,True,recent_preprocessed_risk_only/contracts/0066_0xCaB96A5F3F35E9EA819D960ddFa47e70dC95B2b9_BlazingCoopERC20.sol,recent_etherscan_300/sources/0xCaB96A5F3F35E9EA819D960ddFa47e70dC95B2b9_BlazingCoopERC20,0,200,,0,,BlazingCoopERC20
67,0x71146f990637c7d6964c3d223123b7c810cbddea,StateInitLib,v0.8.27+commit.40a35a09,3925,True,recent_preprocessed_risk_only/contracts/0067_0x71146f990637c7d6964c3d223123b7c810cbddea_StateInitLib.sol,recent_etherscan_300/sources/0x71146f990637c7d6964c3d223123b7c810cbddea_StateInitLib,1,190,,0,,StateInitLib
68,0xfCBCE85447fee18E1915715A9dAc81578901F470,Contract,v0.8.24+commit.e11b9ed9,330,True,recent_preprocessed_risk_only/contracts/0068_0xfCBCE85447fee18E1915715A9dAc81578901F470_Contract.sol,recent_etherscan_300/sources/0xfCBCE85447fee18E1915715A9dAc81578901F470_Contract,1,200,,0,,Contract
69,0x75ebbBe7EA7013033AC403a32e83a295a1b1344C,Contract,v0.8.24+commit.e11b9ed9,330,True,recent_preprocessed_risk_only/contracts/0069_0x75ebbBe7EA7013033AC403a32e83a295a1b1344C_Contract.sol,recent_etherscan_300/sources/0x75ebbBe7EA7013033AC403a32e83a295a1b1344C_Contract,1,200,,0,,Contract
